Название,Цена,Ссылка,Дата публикации,Продавец,Адрес
Электроскутер монстр гигант 60/30 ам,87000,https://www.avito.ru/rostov-na-donu/velosipedy/elektroskuter_monstr_gigant_6030_am_4175208171,-,-,no,-
Велосипед,0,https://www.avito.ru/rostov-na-donu/velosipedy/velosiped_4345816585,-,-,no,-
Новый электро велосипед,45000,https://www.avito.ru/rostov-na-donu/velosipedy/novyy_elektro_velosiped_4172411656,-,-,no,-
Велосипед фэтбайк RL,18000,https://www.avito.ru/rostov-na-donu/velosipedy/velosiped_fetbayk_rl_4238258465,-,-,no,-
Детский велосипед бу 16,5000,https://www.avito.ru/rostov-na-donu/velosipedy/detskiy_velosiped_bu_16_3148889113,-,-,no,-
Седло для велосипеда Charge Spoon Black CrMo,2200,https://www.avito.ru/rostov-na-donu/velosipedy/sedlo_dlya_velosipeda_charge_spoon_black_crmo_3915432762,-,-,no,-
Велосипед с родительской ручкой,4500,https://www.avito.ru/rostov-na-donu/velosipedy/velosiped_s_roditelskoy_ruchkoy_4641913408,-,-,no,-
Велосипед подростковый 26 бу,12000,https://www.avito.ru/rostov-na-donu/velosipedy/velosiped_podrostkovyy_26_bu_4206684070,-,-,no,-
Электровелосипед,73000,https://www.avito.ru/rostov-na-donu/velosipedy/elektrovelosiped_4057751300,-,-,no,-
Горный велосипед 27 5,18400,https://www.avito.ru/rostov-na-donu/velosipedy/gornyy_velosiped_27_5_2547567895,-,· сегодня в 12:05,Пользователь,-
Велосипед скоростной,10000,https://www.avito.ru/rostov-na-donu/velosipedy/velosiped_skorostnoy_2465564527,-,-,no,-
Велосипед подростковый для девочки,4000,https://www.avito.ru/rostov-na-donu/velosipedy/velosiped_podrostkovyy_dlya_devochki_4339028968,-,-,no,-
Детский велосипед,5500,https://www.avito.ru/rostov-na-donu/velosipedy/detskiy_velosiped_4156752648,-,-,no,-
Детский велосипед для девочки 5 лет,4000,https://www.avito.ru/rostov-na-donu/velosipedy/detskiy_velosiped_dlya_devochki_5_let_4272419924,-,-,no,-
Детский велосипед бу,500,https://www.avito.ru/rostov-na-donu/velosipedy/detskiy_velosiped_bu_4151011639,-,-,no,-
Minako Monster с допбатареей аренда и продажа,400,https://www.avito.ru/rostov-na-donu/velosipedy/minako_monster_s_dopbatareey_arenda_i_prodazha_3726623039,-,-,no,-
"Велосипед stinger vesta 26""",10000,https://www.avito.ru/rostov-na-donu/velosipedy/velosiped_stinger_vesta_26_3628320823,-,-,no,-
